output_id,output_filename,generating_script_or_source,run_note,input_data_or_source,parameters,random_seed,software_environment,raw_output_dependency,theory_source,caption,interpretation_status,publication_status
F02,"figures/python/RDL-F02-v1.2.pdf; figures/python/RDL-F02-v1.2.png",scripts/RDL-F02.py,run-notes/RDL-F02-RUN-v1.2.md,"data/RDL-F02-v1.2.csv; config/RDL-CFG-v1.1.json; config/RDL-F02-v1.2.json",clock and meta-order parameters,SED-F02 contexts,config/RDL-ENV-v1.1.txt,raw-outputs/RDL-F02-WAITS-v1.2.csv,"sec:sqrt; sec:subordination",captions/RDL-F02-CAP-v1.2.md,synthetic route-separated illustration,reproducible figure candidate
F03,"figures/python/RDL-F03-v1.0.pdf; figures/python/RDL-F03-v1.0.png",scripts/RDL-F03.py,run-notes/RDL-F03-RUN-v1.0.md,"data/RDL-F03-v1.0.csv; config/RDL-CFG-v1.1.json",LMF tail and lag parameters,SED-F03 contexts for optional diagnostic,config/RDL-ENV-v1.1.txt,"raw-outputs/RDL-F03-MC-v1.0.csv; outputs/RDL-F03-MC-SUM-v1.0.csv","sec:lmf; eq:ellbiasedlaw; eq:condsign",captions/RDL-F03-CAP-v1.0.md,analytic verification with optional diagnostic simulation,reproducible figure candidate
F05,"figures/python/RDL-F05-v1.1.pdf; figures/python/RDL-F05-v1.1.png",scripts/RDL-F05.py,run-notes/RDL-F05-RUN-v1.1.md,"data/RDL-F05-v1.1.csv; config/RDL-CFG-v1.1.json",pulse response parameters,not applicable,config/RDL-ENV-v1.1.txt,none,"eq:perturbation; Abel-kernel precedent",captions/RDL-F05-CAP-v1.1.md,reduced-model illustration,reproducible figure candidate
F06,"figures/python/RDL-F06-v1.0.pdf; figures/python/RDL-F06-v1.0.png",scripts/RDL-F06.py,run-notes/RDL-F06-RUN-v1.0.md,"data/RDL-F06-v1.0.csv; config/RDL-CFG-v1.1.json",response and resilience parameters,not applicable,config/RDL-ENV-v1.1.txt,none,"eq:volterra; sec:sqrt",captions/RDL-F06-CAP-v1.0.md,analytic and numerical verification,reproducible figure candidate
F07,"figures/python/RDL-F07-v1.0.pdf; figures/python/RDL-F07-v1.0.png",scripts/RDL-F07.py,run-notes/RDL-F07-RUN-v1.0.md,"data/RDL-F07-v1.0.csv; config/RDL-CFG-v1.1.json",completion schedule and activity parameters,not applicable,config/RDL-ENV-v1.1.txt,none,sec:sqrt,captions/RDL-F07-CAP-v1.0.md,verification with negative control,reproducible figure candidate
F08,"figures/final/RDL-F08-v1.0.pdf; figures/final/RDL-F08-v1.0.png",figures/tikz/RDL-F08-v1.0.tex,run-notes/RDL-F08-RUN-v1.0.md,design/RDL-F08-DES-v1.1.md,conditional sign definitions,not applicable,config/RDL-ENV-v1.1.txt,none,"sec:tradesign; sec:signs",captions/RDL-F08-CAP-v1.0.md,conditional conceptual result,reproducible figure candidate
T01,"tables/tex/RDL-T01-v1.0.tex; tables/pdf/RDL-T01-v1.0.pdf",scripts/RDL-TAB.py,run-notes/RDL-TAB-RUN-v1.0.md,tables/csv/RDL-T01-v1.0.csv,not applicable,not applicable,config/RDL-ENV-v1.1.txt,tables/csv/RDL-T01-v1.0.csv,notation controls,captions/RDL-T01-CAP-v1.0.md,reproducibility control,diagnostic output
T02,"tables/tex/RDL-T02-v1.0.tex; tables/pdf/RDL-T02-v1.0.pdf",scripts/RDL-TAB.py,run-notes/RDL-TAB-RUN-v1.0.md,tables/csv/RDL-T02-v1.0.csv,not applicable,not applicable,config/RDL-ENV-v1.1.txt,tables/csv/RDL-T02-v1.0.csv,clock architecture,captions/RDL-T02-CAP-v1.0.md,conceptual control,diagnostic output
T03,"tables/tex/RDL-T03-v1.0.tex; tables/pdf/RDL-T03-v1.0.pdf",scripts/RDL-TAB.py,run-notes/RDL-TAB-RUN-v1.0.md,tables/csv/RDL-T03-v1.0.csv,not applicable,not applicable,config/RDL-ENV-v1.1.txt,tables/csv/RDL-T03-v1.0.csv,schedule conventions,captions/RDL-T03-CAP-v1.0.md,analytic interpretation control,diagnostic output
T04,"tables/tex/RDL-T04-v1.0.tex; tables/pdf/RDL-T04-v1.0.pdf",scripts/RDL-TAB.py,run-notes/RDL-TAB-RUN-v1.0.md,tables/csv/RDL-T04-v1.0.csv,parameter register,not applicable,config/RDL-ENV-v1.1.txt,tables/csv/RDL-T04-v1.0.csv,all active and gated targets,captions/RDL-T04-CAP-v1.0.md,reproducibility control,diagnostic output
