id,source,mathematical_object,computational_representation,parameters_defaults,domain_sampling,units_scaling,assumptions_retained,approximations_or_choices,proposed_target,dependent_outputs,diagnostic,unresolved,status
T2C01,"RD2LMF sec:model; sec:tradesign; sec:lmf","Meta-order lengths signs child-order sizes and event ordering","Arrays for meta-order IDs lengths signs child-order signs and sizes","No defaults at Stage 3; alpha_L gamma_epsilon q controls unresolved","m in N; finite sample size unresolved","Event count and dimensionless signed size unless later declared","IID meta-order signs and lengths; sequential non-overlap for baseline renewal model","Finite simulation truncation; optional sign-mixing extensions deferred","functions/sign_process.py","S2; S3; S4; S8; S9","Length-law normalisation; sign symmetry; seed repeatability; simulated versus exact ACF","Sample size truncation and optional mixing model",mapped_pending_audit
T2C02,"RD2LMF sec:subordination","Direct event-counter clock T_m N_t and X(t)=Y_{N_t}","Waiting-time array cumulative timestamps inverse counter and indexed path projection","No defaults; waiting-time families and beta_t unresolved","m in N and calendar grid t>=0","Waiting-time units declared per scenario; dimensionless baseline allowed","Positive waiting times and preserved event order","Finite horizon; finite-mean and infinite-mean heavy-tail regimes must be separate","functions/clocks.py","S2; S4; S10","Positive increments; monotone T_m and N_t; event-order preservation; constant-clock identity","Tail parameterisation and calendar observation grid",mapped_pending_audit
T2C03,"AdjointProjection clock notation plus RD2LMF response reinterpretation","Operational clock u=U(t) and activity alpha_U(t)=dU/dt","Callable monotone clock and inverse or sampled map where required","No defaults; identity and deterministic clocks are benchmarks","u>=0 t>=0 on declared grids","Clock units or dimensionless normalisation declared in config","Monotone absolutely continuous deterministic clock for benchmark","Introducing u is an explicit operational-response representation of source continuum t","functions/clocks.py","S1; S2; S7; S10","Monotonicity; identity limit; volume-conservation crosswalk","Coupling to direct event-counter route",mapped_pending_audit
T2C04,"RD2LMF sec:lmf; eq:ellbiasedlaw; eq:condsign","Exact renewal sign autocorrelation and asymptotic exponent gamma_epsilon=alpha_L-1","Exact truncated sum asymptotic reference and optional Monte Carlo estimator","No defaults; alpha_L>1 retained; truncation sample and lag unresolved","tau in N; log-lag display later","Dimensionless correlation","Sequential IID meta-orders finite mean length and symmetric independent signs","Finite support approximation and finite-sample estimator if simulated","functions/sign_process.py; functions/autocorrelation.py","S3; S4; S9","C(0)=1; non-negativity baseline; sum convergence; asymptotic slope; Monte Carlo agreement","Discrete Pareto law normalisation confidence display and lag window",mapped_pending_audit
T2C05,"RD2LMF sec:tradesign; sec:signs","Primary source-based and flux-based sign processes","Symbolic mapping plus optional arrays for local forcing and flux increments","No defaults; noise or lag models deferred","Event index m and optional spatial front window","Signs in {-1,+1}; zero or ambiguous cases explicitly represented","Exact source-sign equality only for non-zero sign-dominated local forcing; flux equality conditional","Any noisy sign observation is a labelled modelling extension","functions/sign_process.py","S8; optional diagnostic table","Agreement rates; zero-case counts; lag checks; no unconditional equivalence","Whether numerical sign-agreement simulation is scientifically useful",mapped_pending_audit
T2C06,"RD2LMF eq:perturbation; eq:volterra; AdjointProjection eq:abel-kernel and eq:linear-response","Frozen local linear boundary response and damped Abel kernel","Analytic evaluator and later numerical convolution helper","No defaults; mathcal L_u D_u nu_u and any tau_0 unresolved","u>0 with singular origin handled by declared method","Dimensionless baseline or consistent response units declared later","Frozen local coefficients simple zero localised signed forcing full-line short-horizon approximation where invoked","Operational relabelling; optional short-time regularisation is a modelling choice","functions/response.py","S5; S6; S2","Positivity; undamped limit; analytic transform or integral checks; regularisation sensitivity","Whether regularisation is required and whether nonlinear displacement factor is retained",mapped_pending_audit
T2C07,"RD2LMF eq:volterra; sec:sqrt","Constant-rate meta-order impact during execution and relaxation after completion","Analytic weak-cancellation benchmark plus quadrature of selected damped or nonlinear integral","No defaults; mu_0 T_u Q mathcal L_u D_u nu_u unresolved","u in [0 horizon] plus post-completion window","Impact in log-price displacement units or dimensionless baseline","Local-linear book; stated forcing schedule; weak cancellation and small displacement only for Abel benchmark","Finite grid and quadrature; nonlinear Volterra branch deferred until Stage 4 decision","functions/impact.py","S6; S2; S7","Analytic undamped execution and relaxation; damped limit; quadrature convergence; continuity at completion","Active status of nonlinear Volterra benchmark and horizon selection",mapped_pending_audit
T2C08,"RD2LMF sec:sqrt","Completion impact and square-root scaling under a declared schedule","Scenario generator for fixed operational rate fixed calendar rate and fixed participation","No defaults; rate participation and volume grid unresolved","Positive Q grid and declared completion rule","Dimensionless or declared log-price impact","Q=rate times duration only under the selected clock and schedule; square-root reference conditional","Finite-sample slope estimation and stochastic completion-time summaries","functions/impact.py; functions/clocks.py","S7; S2","Reference slope one-half in benchmark; volume conservation; schedule invariance checks where expected","Which schedule variants support a comparable completion law",mapped_pending_audit
T2C09,"RD2LMF sec:subordination","Calendar-time representation and autocorrelation of one fixed event-time sign path","Timestamped events plus explicitly defined calendar-bin observable and estimator","No defaults; bin width lag range empty-bin rule unresolved","Calendar grid and event-lag grid","Correlation dimensionless; calendar lag in declared units","Same underlying event sign sequence reused across clocks","Binning aggregation and estimator are modelling choices not source identities","functions/clocks.py; functions/autocorrelation.py","S4; S10","Constant-clock equivalence; binning conservation; empty-bin accounting; seed and sample robustness","Observable definition and confidence-band method",mapped_pending_audit
T2C10,"RD2LMF eq:returncov; eq:returnprop","Linearised event-time return propagator and double-convolution covariance diagnostic","Finite discrete filter of signed volume plus innovations and estimated covariance","No defaults; beta_G lambda_G q noise and truncation unresolved","Event lag ell>=0 finite filter length","Return or log-price increment units declared later","Linearised approximation orthogonal innovation assumption and leading signed-volume factorisation","Kernel family truncation innovation model and fixed versus state-dependent response","functions/propagator.py; functions/autocorrelation.py","S9","White-noise and zero-memory controls; convolution identity; covariance symmetry; truncation sensitivity","Confirm price-versus-return kernel interpretation before activation",mapped_deferred
T2C11,"RD2LMF eq:discimb; sec:front; eq:pde","Discrete imbalance lattice front interpolation and continuum PDE","Deferred optional lattice or PDE benchmark","No defaults; J Delta x Delta t D nu sources and boundaries unresolved","Finite spatial grid event steps and possible continuum limit","Source paper units or dimensionless benchmark","Finite-grid boundary conditions and explicit stability constraint if activated","Full lattice simulation is not required for current figure plan unless later justified","functions/lattice.py optional","No mandatory current figure; possible diagnostic","Mass or sign checks; stability; front interpolation; grid convergence","Whether this object adds scientific value relative to the reduced response model",mapped_optional
T2C12,"RDL project plan plus accepted computational outputs","Full supplement and reduced appendix as traceable publication objects","LaTeX assembly from accepted TikZ Python figures CSV-derived tables and caption files","No scientific defaults; layout selected later","Single-column supplement and later appendix format unresolved","Publication dimensions and file formats declared at assembly","Only accepted diagnosed outputs may be included","Appendix is a documented subset; GitHub release reduction is separate","supplement/RDL-SUP.tex; appendix/RDL-APP.tex","Full supplement; reduced appendix","Compile render visual QA content-subset and reference checks","Final figure subset and journal layout",mapped_workflow
